EC_number,Substrate,UniProt_ID,Protein_file,Organism_name,Km_value (mM),pH,Temperature,Site_type,Substrate_SMILES,Mol_file,pKm_value
1.1.1.1,octanal,P00326,1U3W.pdb,Homo sapiens,9.6,-----,21-23°C,Substrate+Cofactor,C(CCCCCCC)=O,mol_124.sdf,0.982271233
1.1.1.1,NADH,P39462,1R37.pdb,Saccharolobus solfataricus,0.04,-----,55°C,Substrate+Cofactor,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,mol_17.sdf,-1.397940009
1.1.1.1,NADH,P39462,1R37.pdb,Saccharolobus solfataricus,0.01,10.5,65°C,Substrate+Cofactor,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,mol_17.sdf,-2
1.1.1.1,benzaldehyde,P39462,1R37.pdb,Saccharolobus solfataricus,0.03,10.5,65°C,Substrate+Cofactor,C(C1=CC=CC=C1)=O,mol_30.sdf,-1.522878745
1.1.1.1,Cyclohexanol,P39462,1R37.pdb,Saccharolobus solfataricus,0.03,10.5,65°C,Substrate+Cofactor,C1(CCCCC1)O,mol_18.sdf,-1.522878745
1.1.1.1,benzyl alcohol,P39462,1R37.pdb,Saccharolobus solfataricus,0.26,10.5,65°C,Substrate+Cofactor,C(C1=CC=CC=C1)O,mol_27.sdf,-0.585026652
1.1.1.1,NAD+,P39462,1R37.pdb,Saccharolobus solfataricus,0.5,10.5,65°C,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,mol_19.sdf,-0.301029996
1.1.1.100,acetoacetyl-CoA,P14697,3VZS.pdb,Cupriavidus necator,0.0057,8,30°C,Substrate+Cofactor,C(CC(=O)C)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O,mol_35.sdf,-2.244125144
1.1.1.100,NADPH,P14697,3VZS.pdb,Cupriavidus necator,0.149,8,30°C,Substrate+Cofactor,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-0.826813732
1.1.1.103,L-threonine,D6PBM7,5Y1G.pdb,uncultured archaeon,25.3,-----,30°C,Substrate+Cofactor,N[C@@H]([C@H](O)C)C(=O)O,mol_36.sdf,1.403120521
1.1.1.103,NAD+,D6PBM7,5Y1G.pdb,uncultured archaeon,0.0507,-----,30°C,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,mol_19.sdf,-1.294992041
1.1.1.103,L-threonine,Q8KZM4,2YY7.pdb,Cytophaga sp.,3.81,9,10°C,Substrate+Cofactor,N[C@@H]([C@H](O)C)C(=O)O,mol_36.sdf,0.580924976
1.1.1.103,L-threonine,Q8KZM4,2YY7.pdb,Cytophaga sp.,11.2,9,40°C,Substrate+Cofactor,N[C@@H]([C@H](O)C)C(=O)O,mol_36.sdf,1.049218023
1.1.1.103,L-threonine,Q8KZM4,2YY7.pdb,Cytophaga sp.,19.5,9,50°C,Substrate+Cofactor,N[C@@H]([C@H](O)C)C(=O)O,mol_36.sdf,1.290034611
1.1.1.103,L-threonine,Q8KZM4,2YY7.pdb,Cytophaga sp.,3.56,9,20°C,Substrate+Cofactor,N[C@@H]([C@H](O)C)C(=O)O,mol_36.sdf,0.551449998
1.1.1.121,isatin,Q5SLC4,2D1Y.pdb,Thermus thermophilus HB8,0.012,-----,-----,Cofactor_only,N1C(=O)C(=O)C2=CC=CC=C12,mol_53.sdf,-1.920818754
1.1.1.121,"phenyl-1,2-propanedione",Q5SLC4,2D1Y.pdb,Thermus thermophilus HB8,2,-----,-----,Cofactor_only,C1(=CC=CC=C1)C(C(C)=O)=O,mol_45.sdf,0.301029996
1.1.1.121,alpha-tetralone,Q5SLC4,2D1Y.pdb,Thermus thermophilus HB8,1.9,-----,-----,Cofactor_only,C1CC2=CC=CC=C2C(=O)C1,mol_41.sdf,0.278753601
1.1.1.121,D-mannose,Q9HK51,2DTX.pdb,Thermoplasma acidophilum,25,8,37°C,Substrate_only,O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,mol_259.sdf,1.397940009
1.1.1.121,D-glucose,Q9HK51,2DTX.pdb,Thermoplasma acidophilum,208,8,37°C,Substrate_only,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,mol_39.sdf,2.318063335
1.1.1.121,2-deoxy-D-glucose,Q9HK51,2DTX.pdb,Thermoplasma acidophilum,24.3,8,37°C,Substrate_only,O=CC[C@@H](O)[C@H](O)[C@H](O)CO,mol_44.sdf,1.385606274
1.1.1.14,D-sorbitol,Q9KWR5,5ITG.pdb,Gluconobacter oxydans,132,10.1,-----,Substrate_only,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,mol_241.sdf,2.120573931
1.1.1.146,"7-keto,27-hydroxycholesterol",P28845,2BEL.pdb,Homo sapiens,3.90E-05,7.4,-----,Substrate+Cofactor,O=C1[C@H]2[C@@H]3CC[C@H]([C@@H](CCCC(C)CO)C)[C@]3(CC[C@@H]2[C@]2(CC[C@@H](CC2=C1)O)C)C,mol_2158.sdf,-4.408935393
1.1.1.149,cortisol,A7A7R9,6M9U.pdb,Bifidobacterium adolescentis,0.02407,5,-----,Substrate_only,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,mol_54.sdf,-1.61852391
1.1.1.149,(S)-tetralol,Q04828,1MRQ.pdb,Homo sapiens,0.007,7.4,25°C,Substrate+Cofactor,O[C@H]1CCCc2ccccc21,mol_2159.sdf,-2.15490196
1.1.1.149,"5alpha-pregnane-3alpha,20alpha-diol",Q04828,1MRQ.pdb,Homo sapiens,0.0009,7,25°C,Substrate+Cofactor,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,mol_108.sdf,-3.045757491
1.1.1.149,5beta-Pregnan-3alpha-ol-20-one,Q04828,1MRQ.pdb,Homo sapiens,0.0045,7,25°C,Substrate+Cofactor,CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,mol_2160.sdf,-2.346787486
1.1.1.149,"5alpha-pregnane-3alpha,20alpha-diol",Q04828,1MRQ.pdb,Homo sapiens,0.0009,7.4,25°C,Substrate+Cofactor,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,mol_108.sdf,-3.045757491
1.1.1.149,5beta-Pregnan-3alpha-ol-20-one,Q04828,1MRQ.pdb,Homo sapiens,0.0045,7.4,25°C,Substrate+Cofactor,CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,mol_2160.sdf,-2.346787486
1.1.1.159,NADP+,G9FRD7,5EPO.pdb,Clostridium sardiniense,0.34,-----,-----,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,mol_38.sdf,-0.468521083
1.1.1.159,chenodeoxycholic acid,G9FRD7,5EPO.pdb,Clostridium sardiniense,0.0661,8,25°C,Substrate+Cofactor,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,mol_55.sdf,-1.179798541
1.1.1.159,NADP+,G9FRD7,5EPO.pdb,Clostridium sardiniense,0.3116,8,25°C,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,mol_38.sdf,-0.506402551
1.1.1.169,NADPH,A0A0J9X283,4YCA.pdb,Staphylococcus aureus,0.0072,7.5,25°C,Cofactor_only,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-2.142667504
1.1.1.169,(R)-4-dehydropantoate,A0A0J9X283,4YCA.pdb,Staphylococcus aureus,0.0096,7.5,25°C,Cofactor_only,CC(C)(C=O)C(C(=O)O)O,mol_56.sdf,-2.017728767
1.1.1.169,2-dehydropantoate,P0A9J4,2OFP.pdb,Escherichia coli,0.03,7.5,27°C,Substrate+Cofactor,CC(C)(CO)C(=O)C(=O)O,mol_58.sdf,-1.522878745
1.1.1.169,ketopantoate,P0A9J4,2OFP.pdb,Escherichia coli,0.06,-----,-----,Substrate+Cofactor,O=CC([C@H](C(=O)[O-])O)(C)CO,mol_57.sdf,-1.22184875
1.1.1.169,NADPH,P0A9J4,2OFP.pdb,Escherichia coli,0.02,-----,-----,Substrate+Cofactor,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-1.698970004
1.1.1.169,NADPH,P0A9J4,2OFP.pdb,Escherichia coli,0.007,7.5,27°C,Substrate+Cofactor,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-2.15490196
1.1.1.169,NADH,Q5JGC2,5AYV.pdb,Thermococcus kodakarensis,0.003,6.4,70°C,Substrate_only,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,mol_17.sdf,-2.522878745
1.1.1.169,(R)-pantoate,Q5JGC2,5AYV.pdb,Thermococcus kodakarensis,0.13,6.4,70°C,Substrate_only,C([C@H](O)C(C)(C)CO)(=O)[O-],mol_59.sdf,-0.886056648
1.1.1.169,2-dehydropantoate,Q5JGC2,5AYV.pdb,Thermococcus kodakarensis,0.006,6.4,70°C,Substrate_only,CC(C)(CO)C(=O)C(=O)O,mol_58.sdf,-2.22184875
1.1.1.169,NAD+,Q5JGC2,5AYV.pdb,Thermococcus kodakarensis,0.041,6.4,70°C,Substrate_only,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,mol_19.sdf,-1.387216143
1.1.1.169,NADPH,Q5JGC2,5AYV.pdb,Thermococcus kodakarensis,0.00135,6.4,70°C,Substrate_only,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-2.869666232
1.1.1.17,D-fructose 6-phosphate,D0C7J2,7OCR.pdb,Acinetobacter baumannii,55,7,37°C,Substrate+Cofactor,P(=O)(O)(O)OC[C@H]([C@H]([C@@H](C(CO)=O)O)O)O,mol_780.sdf,1.740362689
1.1.1.179,D-xylose,Q9TQS6,3OHS.pdb,Macaca fascicularis,4.4,7.5,-----,Substrate_only,O=C[C@H](O)[C@@H](O)[C@H](O)CO,mol_43.sdf,0.643452676
1.1.1.18,myo-inositol,P26935,3NT4.pdb,Bacillus subtilis,18,9,25°C,Substrate+Cofactor,C1(C(C(C(C(C1O)O)O)O)O)O,mol_60.sdf,1.255272505
1.1.1.18,"(1S,2S,3R,4S,5S)-5-(allyloxy)cyclohexane-1,2,3,4-tetrol",P26935,3NT4.pdb,Bacillus subtilis,7,9,25°C,Substrate+Cofactor,C(C=C)O[C@@H]1[C@H]([C@@H]([C@H]([C@H](C1)O)O)O)O,mol_2161.sdf,0.84509804
1.1.1.18,"(1S,2S,3R,4S,5S)-5-methoxycyclohexane-1,2,3,4-tetrol",P26935,3NT4.pdb,Bacillus subtilis,8,9,25°C,Substrate+Cofactor,CO[C@@H]1[C@H]([C@@H]([C@H]([C@H](C1)O)O)O)O,mol_2162.sdf,0.903089987
1.1.1.18,"methyl 4-([[(1S,2S,3R,4S,5S)-2,3,4 5-tetrahydroxycyclohexyl]oxy]methyl)benzoate",P26935,3NT4.pdb,Bacillus subtilis,3,9,25°C,Substrate+Cofactor,O[C@@H]1[C@H](C[C@@H]([C@@H]([C@H]1O)O)O)OCC1=CC=C(C(=O)OC)C=C1,mol_2163.sdf,0.477121255
1.1.1.18,NAD+,P26935,3NT4.pdb,Bacillus subtilis,0.08,9,25°C,Substrate+Cofactor,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,mol_19.sdf,-1.096910013
1.1.1.18,"(1S,2S,3R,4S,5S)-5-(benzyloxy)cyclohexane-1,2,3,4-tetrol",P26935,3NT4.pdb,Bacillus subtilis,4,9,25°C,Substrate+Cofactor,C(C1=CC=CC=C1)O[C@@H]1[C@H]([C@@H]([C@H]([C@H](C1)O)O)O)O,mol_2164.sdf,0.602059991
1.1.1.18,"4-([[(1S,2S,3R,4S,5S)-2,3,4 5-tetrahydroxycyclohexyl]oxy]methyl)benzoic acid",P26935,3NT4.pdb,Bacillus subtilis,44,9,25°C,Substrate+Cofactor,O[C@@H]1[C@H](C[C@@H]([C@@H]([C@H]1O)O)O)OCC1=CC=C(C(=O)O)C=C1,mol_2165.sdf,1.643452676
1.1.1.18,melibiose,P26935,3NT4.pdb,Bacillus subtilis,57,9,25°C,Substrate+Cofactor,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,mol_1386.sdf,1.755874856
1.1.1.184,NADPH,B2KJ46,3CTM.pdb,Candida parapsilosis,0.609672043,7.5,35°C,Substrate_only,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-0.214903719
1.1.1.184,2-hydroxyacetophenone,B2KJ46,3CTM.pdb,Candida parapsilosis,0.63,5,35°C,Substrate_only,OCC(=O)C1=CC=CC=C1,mol_61.sdf,-0.200659451
1.1.1.184,NADH,B2KJ46,3CTM.pdb,Candida parapsilosis,7.959692205,7.5,35°C,Substrate_only,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,mol_17.sdf,0.900896274
1.1.1.184,prostaglandin E2,F1N9C1,3WXB.pdb,Gallus gallus,0.03,6.5,25°C,Substrate+Cofactor,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,mol_64.sdf,-1.522878745
1.1.1.184,acetone,F1N9C1,3WXB.pdb,Gallus gallus,0.05,6.5,25°C,Substrate+Cofactor,CC(=O)C,mol_65.sdf,-1.301029996
1.1.1.184,S-nitrosoglutathione,P16152,1WMA.pdb,Homo sapiens,0.028,7.4,-----,Substrate+Cofactor,N(=O)SC[C@H](NC(CC[C@H](N)C(=O)O)=O)C(=O)NCC(=O)O,mol_78.sdf,-1.552841969
1.1.1.184,isatin,P16152,1WMA.pdb,Homo sapiens,0.0008,7.4,37°C,Substrate+Cofactor,N1C(=O)C(=O)C2=CC=CC=C12,mol_53.sdf,-3.096910013
1.1.1.184,oracin,P16152,1WMA.pdb,Homo sapiens,0.034,7.4,37°C,Substrate+Cofactor,C1=CC=C2C(=C1)C3=C(C4=CC=CC=C4C3=O)N(C2=O)CCNCCO,mol_73.sdf,-1.468521083
1.1.1.184,menadione,P16152,1WMA.pdb,Homo sapiens,0.024,-----,-----,Substrate+Cofactor,CC1=CC(=O)C2=CC=CC=C2C1=O,mol_69.sdf,-1.619788758
1.1.1.184,3-glutathionyl-propanal,P16152,1WMA.pdb,Homo sapiens,0.0207,8.4,25°C,Substrate+Cofactor,N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)CCC=O,mol_81.sdf,-1.684029655
1.1.1.184,isatin,P16152,1WMA.pdb,Homo sapiens,0.0078,-----,-----,Substrate+Cofactor,N1C(=O)C(=O)C2=CC=CC=C12,mol_53.sdf,-2.107905397
1.1.1.184,3-glutathionyl-hexanal,P16152,1WMA.pdb,Homo sapiens,0.0238,8.4,25°C,Substrate+Cofactor,N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(CC=O)CCC,mol_77.sdf,-1.623423043
1.1.1.184,3-glutathionyl-nonanal,P16152,1WMA.pdb,Homo sapiens,0.0065,8.4,25°C,Substrate+Cofactor,N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(CC=O)CCCCCC,mol_79.sdf,-2.187086643
1.1.1.184,glutathionyl-nonanal,P16152,1WMA.pdb,Homo sapiens,0.0065,8.4,37°C,Substrate+Cofactor,N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(C=O)CCCCCCC,mol_80.sdf,-2.187086643
1.1.1.184,4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone,P16152,1WMA.pdb,Homo sapiens,6.772296509,7.4,37°C,Substrate+Cofactor,CN(CCCC(=O)C1=CN=CC=C1)N=O,mol_71.sdf,0.830735964
1.1.1.184,1-(3-methyl-4-oxidoquinoxalin-2-yl)ethanone,Q28960,1N5D.pdb,Sus scrofa,0.116,7.4,37°C,Cofactor_only,CC=1C(=NC2=CC=CC=C2[N+]1[O-])C(C)=O,mol_83.sdf,-0.935542011
1.1.1.184,menadione,Q28960,1N5D.pdb,Sus scrofa,0.0199,7.4,37°C,Cofactor_only,CC1=CC(=O)C2=CC=CC=C2C1=O,mol_69.sdf,-1.701146924
1.1.1.184,"1-(3-methyl-1,4-dioxidoquinoxalin-2-yl)ethanone",Q28960,1N5D.pdb,Sus scrofa,0.469,7.4,37°C,Cofactor_only,CC=1C(=[N+](C2=CC=CC=C2[N+]1[O-])[O-])C(C)=O,mol_82.sdf,-0.328827157
1.1.1.184,methylglyoxal,Q5FQJ0,6KIY.pdb,Gluconobacter oxydans,2.2,7,25°C,Apo site,CC(=O)C=O,mol_84.sdf,0.342422681
1.1.1.184,NADPH,Q5FQJ0,6KIY.pdb,Gluconobacter oxydans,0.075,7,25°C,Apo site,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,mol_34.sdf,-1.124938737
1.1.1.184,"2,3-Pentanedione",Q5FQJ0,6KIY.pdb,Gluconobacter oxydans,10.8,7,25°C,Apo site,CC(C(CC)=O)=O,mol_85.sdf,1.033423755
